EXC Adj Close 15	0    0.031252
LUMN Adj Close	0    0.030151
RCL Adj Close 17	0    0.022591
NFLX Adj Close 21	0    0.019317
GL Adj Close 20	0    0.017896
ULTA Adj Close 9	0    0.016423
GD Adj Close 1	0    0.016095
INTC Adj Close 5	0    0.012355
XRX Adj Close 21	0    0.012289
CAH Adj Close 1	0    0.012018
CSCO Adj Close 19	0    0.011425
KO Adj Close 21	0    0.011101
PYPL Adj Close 8	0    0.009961
FLS Adj Close	0    0.009069
VAR Adj Close 11	0    0.009047
XYL Adj Close 12	0    0.008997
HWM Adj Close 1	0    0.008943
VAR Adj Close 17	0    0.008744
EVRG Adj Close	0    0.008425
INFO Adj Close 8	0    0.008363
CSCO Adj Close 17	0    0.008199
MMM macd 19	0    0.007515
IBM Adj Close 10	0    0.007506
IR Adj Close 3	0    0.007338
FTNT Adj Close 6	0    0.007115
NCLH Adj Close	0    0.007072
TXN Adj Close 12	0    0.006972
FTV Adj Close 16	0    0.006732
BAC Adj Close 1	0    0.006525
NCLH Adj Close 10	0    0.006511
GM Adj Close 7	0    0.006347
LYV Adj Close 19	0    0.006322
WAB Adj Close	0    0.006032
RJF Adj Close 14	0    0.005362
MET Adj Close 10	0    0.005306
NTAP Adj Close 9	0    0.005208
NTAP Adj Close 1	0    0.005089
MAR Adj Close 21	0    0.004987
HST Adj Close 10	0    0.00497
MO Adj Close 18	0    0.004902
KHC Adj Close 21	0    0.004853
FANG Adj Close 21	0    0.004695
CI Adj Close 19	0    0.004692
MGM Adj Close 1	0    0.004657
LYV Adj Close 13	0    0.004547
IVZ Adj Close 4	0    0.004514
GD Adj Close	0    0.004508
BA Adj Close 17	0    0.004488
HUM Adj Close 11	0    0.004454
PNC Adj Close 5	0    0.004435
RL Adj Close 16	0    0.004413
ALB Adj Close 1	0    0.004388
UAA Adj Close	0    0.004332
AFL Adj Close 1	0    0.00427
VTRS Adj Close 12	0    0.00405
REG Adj Close 20	0    0.004019
SPG Adj Close 13	0    0.004004
NOV Adj Close 16	0    0.003888
MS Adj Close 8	0    0.003856
SPGI Adj Close 12	0    0.003856
ECL Adj Close	0    0.003816
XYL Adj Close 4	0    0.003774
REGN Adj Close 11	0    0.003745
CFG Adj Close	0    0.003594
DFS Adj Close 21	0    0.00359
DG Adj Close 2	0    0.003396
MXIM Adj Close 11	0    0.003394
HLT Adj Close 17	0    0.003378
NWS Adj Close 10	0    0.003369
FIS Adj Close 12	0    0.003363
J Adj Close 18	0    0.003293
BA Adj Close	0    0.003215
XOM Adj Close 8	0    0.003164
GD Adj Close 5	0    0.003088
WST Adj Close 19	0    0.00292
PG Adj Close 6	0    0.00291
MOS Adj Close 11	0    0.002909
ARE Adj Close 11	0    0.002904
SLG Adj Close 20	0    0.002856
SPG Adj Close 18	0    0.002822
NCLH Adj Close 11	0    0.00282
JCI Adj Close 5	0    0.002782
EMN Adj Close	0    0.002635
BIIB Adj Close 6	0    0.002606
EXC Adj Close 3	0    0.002563
IFF Adj Close	0    0.00256
IBM Adj Close 2	0    0.00255
ALK Adj Close 8	0    0.002513
GPS Adj Close 15	0    0.002482
MET Adj Close 3	0    0.002481
BIIB Adj Close 13	0    0.002434
IPG Adj Close 13	0    0.002409
MCO Adj Close 11	0    0.002387
DISCA Adj Close 17	0    0.00238
BKR Adj Close 2	0    0.002319
ARE Adj Close 4	0    0.002298
LHX Adj Close	0    0.002295
CCI Adj Close	0    0.002293
EOG Adj Close	0    0.002281
DE Adj Close	0    0.002267
OXY Adj Close 10	0    0.002244
FLT Adj Close 15	0    0.002192
HAL Adj Close 9	0    0.002168
HES Adj Close 16	0    0.002155
HUM Adj Close 20	0    0.002155
HWM Adj Close 15	0    0.002139
LUV Adj Close 5	0    0.002138
DISCA Adj Close 15	0    0.002135
WMB Adj Close 14	0    0.002116
DISCK Adj Close 17	0    0.002102
FCX Adj Close 14	0    0.002087
NOV Adj Close 10	0    0.002065
VTR Adj Close 6	0    0.002029
PGR Adj Close 13	0    0.001989
APA Adj Close 2	0    0.001978
RL Adj Close	0    0.001957
HFC Adj Close 16	0    0.001943
WY Adj Close 16	0    0.001931
UHS Adj Close	0    0.001904
RL Adj Close 10	0    0.001901
MMM rsi 1	0    0.001869
INCY Adj Close 5	0    0.001855
HST Adj Close 9	0    0.00184
DPZ Adj Close 14	0    0.001832
GILD Adj Close 21	0    0.001813
ALL Adj Close	0    0.001804
WRK Adj Close	0    0.001751
PFE Adj Close	0    0.001748
HUM Adj Close 15	0    0.001745
BLL Adj Close 4	0    0.001708
VMC Adj Close 5	0    0.00169
GE Adj Close 8	0    0.00169
ALLE Adj Close 8	0    0.001688
DVN Adj Close	0    0.001676
LUMN Adj Close 5	0    0.001669
KHC Adj Close	0    0.001665
DISCA Adj Close 5	0    0.00164
ADBE Adj Close 15	0    0.001635
CPB Adj Close 16	0    0.001615
PVH Adj Close 7	0    0.001614
EW Adj Close	0    0.0016
DISCK Adj Close	0    0.00153
YUM Adj Close 8	0    0.001528
MMM Adj Close 20	0    0.001524
BIO Adj Close 20	0    0.001498
LNC Adj Close	0    0.001496
DXCM Adj Close 14	0    0.001493
WFC Adj Close 19	0    0.001486
EXC Adj Close 5	0    0.001484
ROP Adj Close 14	0    0.001479
JKHY Adj Close 12	0    0.001471
WU Adj Close 14	0    0.001464
MMM rsi	0    0.001447
MO Adj Close 12	0    0.00142
COO Adj Close 21	0    0.001419
VTRS Adj Close 18	0    0.001401
ROST Adj Close 21	0    0.001388
INTU Adj Close	0    0.001379
GWW Adj Close 3	0    0.001363
PM Adj Close 2	0    0.001352
HSIC Adj Close 5	0    0.001345
WELL Adj Close 16	0    0.001339
HAL Adj Close 17	0    0.001334
JCI Adj Close	0    0.001329
HWM Adj Close 7	0    0.001323
DRI Adj Close 2	0    0.001309
BKNG Adj Close 7	0    0.001306
IBM Adj Close 13	0    0.001292
DTE Adj Close 2	0    0.001289
CTAS Adj Close 20	0    0.001265
F Adj Close 14	0    0.001257
AMT Adj Close 21	0    0.001248
COP Adj Close 13	0    0.001248
IPG Adj Close 16	0    0.001246
SPG Adj Close 17	0    0.001245
FBHS Adj Close 3	0    0.001234
ADI Adj Close 4	0    0.001219
PPL Adj Close 17	0    0.001218
ABBV Adj Close 7	0    0.001217
MMM rsi 16	0    0.001216
HAS Adj Close 2	0    0.001213
MSCI Adj Close 17	0    0.00121
LRCX Adj Close 12	0    0.001201
TAP Adj Close 9	0    0.001195
IRM Adj Close 19	0    0.001191
TSCO Adj Close 10	0    0.001182
XOM Adj Close	0    0.001173
NLSN Adj Close 10	0    0.001169
AMCR Adj Close 18	0    0.001163
LMT Adj Close 21	0    0.001137
AMAT Adj Close	0    0.00112
ROL Adj Close 5	0    0.00112
FTV Adj Close	0    0.001113
TFC Adj Close 7	0    0.001101
WYNN Adj Close 4	0    0.001099
DFS Adj Close	0    0.001097
ANSS Adj Close 10	0    0.001095
ENPH Adj Close 21	0    0.001079
FE Adj Close 11	0    0.001076
HPQ Adj Close 3	0    0.001057
CTXS Adj Close 20	0    0.001049
HAL Adj Close	0    0.001032
IVZ Adj Close 9	0    0.001014
MRO Adj Close 12	0    0.001013
HAL Adj Close 12	0    0.001008
CBOE Adj Close 13	0    0.001
RMD Adj Close 13	0    0.000998
VNO Adj Close 9	0    0.000993
CMA Adj Close 13	0    0.000993
USB Adj Close 2	0    0.00099
O Adj Close 5	0    0.000982
CBOE Adj Close 10	0    0.00097
ED Adj Close 14	0    0.00097
CTLT Adj Close	0    0.000968
HPE Adj Close 1	0    0.000968
JNPR Adj Close 19	0    0.000962
DRI Adj Close 4	0    0.000961
AAL Adj Close 21	0    0.000949
VFC Adj Close 10	0    0.000948
BAX Adj Close 4	0    0.000947
WBA Adj Close 2	0    0.000946
GRMN Adj Close 13	0    0.000946
HWM Adj Close 16	0    0.00094
HWM Adj Close 11	0    0.000937
URI Adj Close 20	0    0.000916
SLG Adj Close 18	0    0.000914
OXY Adj Close 17	0    0.000911
BDX Adj Close	0    0.000908
KEY Adj Close 16	0    0.000904
RL Adj Close 5	0    0.000897
CVX Adj Close 5	0    0.000894
RHI Adj Close 4	0    0.000891
WYNN Adj Close 19	0    0.000887
VTRS Adj Close 3	0    0.000881
DHI Adj Close 20	0    0.00088
ALXN Adj Close 21	0    0.000874
MSFT Adj Close	0    0.000873
SIVB Adj Close 12	0    0.000871
CMA Adj Close 19	0    0.000865
MMM macd 21	0    0.000857
MOS Adj Close 3	0    0.00085
WDC Adj Close 14	0    0.000842
TXN Adj Close 7	0    0.000837
RL Adj Close 18	0    0.000834
MO Adj Close 1	0    0.000824
ILMN Adj Close 2	0    0.000821
FB Adj Close 14	0    0.000821
WBA Adj Close	0    0.000821
FBHS Adj Close 21	0    0.000818
ABMD Adj Close 21	0    0.000816
FCX Adj Close 17	0    0.000806
ROST Adj Close 4	0    0.000801
CF Adj Close 10	0    0.000799
VRSN Adj Close 18	0    0.000795
AEP Adj Close	0    0.000793
MMM rsi 14	0    0.000787
MSI Adj Close 7	0    0.000782
DD Adj Close	0    0.000778
NRG Adj Close	0    0.000778
HFC Adj Close 6	0    0.000773
BWA Adj Close 11	0    0.000772
MSI Adj Close 5	0    0.00077
SBUX Adj Close 14	0    0.000747
MNST Adj Close 7	0    0.000746
EMN Adj Close 1	0    0.000742
PNR Adj Close 21	0    0.000735
CLX Adj Close 16	0    0.000731
ADM Adj Close 4	0    0.00073
STT Adj Close 1	0    0.000725
NVDA Adj Close 4	0    0.000715
MOS Adj Close 7	0    0.00071
AIG Adj Close 11	0    0.000703
ALXN Adj Close	0    0.000699
AAL Adj Close 17	0    0.000699
STZ Adj Close	0    0.000694
BKR Adj Close	0    0.000693
GM Adj Close 2	0    0.00069
COF Adj Close 2	0    0.000689
TMO Adj Close 10	0    0.000688
AZO Adj Close 15	0    0.000685
TPR Adj Close 20	0    0.000682
PRGO Adj Close 12	0    0.000677
VRSN Adj Close 6	0    0.000676
CLX Adj Close 1	0    0.000675
MMC Adj Close 19	0    0.000675
COP Adj Close 14	0    0.000671
NUE Adj Close 5	0    0.000666
IPGP Adj Close 20	0    0.000663
JKHY Adj Close 4	0    0.000655
LNC Adj Close 2	0    0.000653
NUE Adj Close 6	0    0.000653
SYF Adj Close 8	0    0.00064
DHI Adj Close 19	0    0.000639
AIZ Adj Close 11	0    0.000637
ANSS Adj Close 2	0    0.000636
IPGP Adj Close 16	0    0.000634
CNP Adj Close 17	0    0.000628
WYNN Adj Close 10	0    0.000625
PVH Adj Close 21	0    0.00062
OXY Adj Close 4	0    0.00062
VRSN Adj Close 8	0    0.000619
IR Adj Close 8	0    0.000617
MGM Adj Close 14	0    0.000608
OXY Adj Close 2	0    0.000606
GIS Adj Close 21	0    0.000604
CBRE Adj Close 8	0    0.000602
COO Adj Close 11	0    0.000597
TTWO Adj Close 21	0    0.000597
BEN Adj Close	0    0.000591
HST Adj Close 3	0    0.00059
WYNN Adj Close 1	0    0.000587
SCHW Adj Close	0    0.000587
BK Adj Close 14	0    0.000585
MMC Adj Close 6	0    0.000585
CNC Adj Close 14	0    0.000584
PAYX Adj Close 8	0    0.00058
HIG Adj Close	0    0.000575
PKI Adj Close 10	0    0.000575
IPG Adj Close 14	0    0.000574
GPC Adj Close 13	0    0.000569
CERN Adj Close 9	0    0.000566
DLR Adj Close 3	0    0.000561
FLIR Adj Close 1	0    0.00056
FMC Adj Close 21	0    0.000559
MLM Adj Close	0    0.000558
ADBE Adj Close 20	0    0.000552
TER Adj Close 20	0    0.00055
UHS Adj Close 4	0    0.000547
HBAN Adj Close 2	0    0.000545
GPC Adj Close 10	0    0.000543
CDW Adj Close 19	0    0.000543
LYB Adj Close 7	0    0.000541
CME Adj Close 11	0    0.000539
ROP Adj Close 5	0    0.000536
BEN Adj Close 6	0    0.000535
RE Adj Close 1	0    0.000534
IPGP Adj Close 18	0    0.000534
VRTX Adj Close 13	0    0.000528
FTNT Adj Close 7	0    0.000525
IR Adj Close 18	0    0.000522
DOW Adj Close	0    0.000519
LEN Adj Close	0    0.000517
FLT Adj Close	0    0.000517
MMM macd 15	0    0.000509
EQIX Adj Close 20	0    0.000501
IFF Adj Close 19	0    0.0005
BIIB Adj Close 20	0    0.000498
PXD Adj Close 12	0    0.000495
MET Adj Close	0    0.000494
PKG Adj Close 12	0    0.000491
TER Adj Close 1	0    0.00049
MMM macd 9	0    0.000489
XRX Adj Close 19	0    0.000488
PAYX Adj Close 19	0    0.000482
CTXS Adj Close 13	0    0.000481
HSIC Adj Close 1	0    0.000478
CMI Adj Close 5	0    0.000473
NTAP Adj Close 20	0    0.000472
